adcode,formatted_address,city_name,province,city,district,lon,lat
110000,北京市,北京市,北京市,北京市,,116.407526,39.90403
110100,北京市市辖区,北京市市辖区,北京市,北京市,,116.407526,39.90403
110101,北京市东城区,东城区,北京市,北京市,东城区,116.416357,39.928353
110102,北京市西城区,西城区,北京市,北京市,西城区,116.365868,39.912289
110105,北京市朝阳区,朝阳区,北京市,北京市,朝阳区,116.601144,39.948574
110106,北京市丰台区,丰台区,北京市,北京市,丰台区,116.287149,39.858427
110107,北京市石景山区,石景山区,北京市,北京市,石景山区,116.222982,39.906611
110108,北京市海淀区,海淀区,北京市,北京市,海淀区,116.329519,39.972134
110109,北京市门头沟区,门头沟区,北京市,北京市,门头沟区,116.102009,39.940646
110111,北京市房山区,房山区,北京市,北京市,房山区,116.143267,39.749144
110112,北京市通州区,通州区,北京市,北京市,通州区,116.656435,39.909946
110113,北京市顺义区,顺义区,北京市,北京市,顺义区,116.654561,40.130347
110114,北京市昌平区,昌平区,北京市,北京市,昌平区,116.231204,40.22066
110115,北京市大兴区,大兴区,北京市,北京市,大兴区,116.341014,39.784747
110116,北京市怀柔区,怀柔区,北京市,北京市,怀柔区,116.642349,40.315704
110117,北京市平谷区,平谷区,北京市,北京市,平谷区,117.121383,40.140701
110118,北京市密云区,密云区,北京市,北京市,密云区,116.843177,40.376834
110119,北京市延庆区,延庆区,北京市,北京市,延庆区,115.974848,40.456951
120000,天津市,天津市,天津市,天津市,,117.200983,39.084158
120100,天津市市辖区,天津市市辖区,天津市,天津市,,117.200983,39.084158
120101,天津市和平区,和平区,天津市,天津市,和平区,117.208125,39.118897
120102,天津市河东区,河东区,天津市,天津市,河东区,117.251587,39.128291
120103,天津市河西区,河西区,天津市,天津市,河西区,117.223372,39.109563
120104,天津市南开区,南开区,天津市,天津市,南开区,117.150738,39.138203
120105,天津市河北区,河北区,天津市,天津市,河北区,117.196648,39.147869
120106,天津市红桥区,红桥区,天津市,天津市,红桥区,117.151533,39.167345
120110,天津市东丽区,东丽区,天津市,天津市,东丽区,117.314324,39.086569
120111,天津市西青区,西青区,天津市,天津市,西青区,117.013949,39.141591
120112,天津市津南区,津南区,天津市,天津市,津南区,117.391976,38.984526
120113,天津市北辰区,北辰区,天津市,天津市,北辰区,117.139343,39.217817
120114,天津市武清区,武清区,天津市,天津市,武清区,117.044388,39.384119
120115,天津市宝坻区,宝坻区,天津市,天津市,宝坻区,117.309863,39.717379
120116,天津市滨海新区,滨海新区,天津市,天津市,滨海新区,117.78067,39.246083
120117,天津市宁河区,宁河区,天津市,天津市,宁河区,117.826625,39.329858
120118,天津市静海区,静海区,天津市,天津市,静海区,116.97413,38.947512
120119,天津市蓟州区,蓟州区,天津市,天津市,蓟州区,117.408307,40.04606
