54511   39.80  116.47   北京市                                  北京市                 北京市      北京市       
54527   39.08  117.07   天津市                                  天津市                 天津市      天津市       
53698   38.03  114.42   石家庄市                                石家庄市               河北省      河北省       
54534   39.67  118.15   唐山市                                  唐山市                 河北省      河北省       
54449   39.85  119.52   秦皇岛市                                秦皇岛市               河北省      河北省       
53892   36.62  114.47   邯郸市                                  邯郸市                 河北省      河北省       
53798   37.07  114.50   邢台市                                  邢台市                 河北省      河北省       
54602   38.85  115.52   保定市                                  保定市                 河北省      河北省       
54401   40.78  114.88   张家口市                                张家口市               河北省      河北省       
54423   40.98  117.95   承德市                                  承德市                 河北省      河北省         
54616   38.35  116.85   沧州市                                  沧州市                 河北省      河北省       
54515   39.50  116.70   廊坊市                                  廊坊市                 河北省      河北省        
54702   37.73  115.70   衡水市                                  衡水市                 河北省      河北省       
53772   37.78  112.55   太原市                                  太原市                 山西省      山西省       
53487   40.10  113.33   大同市                                  大同市                 山西省      山西省       
53782   37.85  113.55   阳泉市                                  阳泉市                 山西省      山西省       
53882   36.05  113.07   长治市                                  长治市                 山西省      山西省       
53976   35.50  112.87   晋城市                                  晋城市                 山西省      山西省       
53578   39.37  112.43   朔州市                                  朔州市                 山西省      山西省       
53776   37.68  112.77   榆次区                                  晋中市                 山西省      山西省       
53959   35.05  111.05   运城市                                  运城市                 山西省      山西省       
53674   38.42  112.70   忻州市                                  忻州市                 山西省      山西省       
53868   36.07  111.50   临汾市                                  临汾市                 山西省      山西省       
53764   37.50  111.10   离石区                                  吕梁市                 山西省      山西省       
53463   40.82  111.68   呼和浩特市                              呼和浩特市             内蒙古      内蒙古       
53512   39.80  106.80   乌海市                                  乌海市                 内蒙古      内蒙古       
54218   42.27  118.93   赤峰市                                  赤峰市                 内蒙古      内蒙古       
54135   43.60  122.27   通辽市                                  通辽市                 内蒙古      内蒙古       
53543   39.83  109.98   东胜区                                  鄂尔多斯市             内蒙古      内蒙古       
54342   41.73  123.52   沈阳市                                  沈阳市                 辽宁省      辽宁省       
54662   38.90  121.63   大连市                                  大连市                 辽宁省      辽宁省       
54339   41.08  123.00   鞍山市                                  鞍山市                 辽宁省      辽宁省       
54351   41.92  124.08   抚顺市                                  抚顺市                 辽宁省      辽宁省       
54346   41.32  123.78   本溪市                                  本溪市                 辽宁省      辽宁省       
54497   40.05  124.33   丹东市                                  丹东市                 辽宁省      辽宁省       
54337   41.13  121.12   锦州市                                  锦州市                 辽宁省      辽宁省       
54471   40.65  122.17   营口市                                  营口市                 辽宁省      辽宁省       
54237   42.08  121.72   阜新市                                  阜新市                 辽宁省      辽宁省       
54347   41.23  123.17   辽阳市                                  辽阳市                 辽宁省      辽宁省       
54249   42.30  123.87   铁岭市                                  铁岭市                 辽宁省      辽宁省       
54324   41.55  120.43   朝阳市                                  朝阳市                 辽宁省      辽宁省       
54161   43.90  125.22   长春市                                  长春市                 吉林省      吉林省       
54157   43.17  124.33   四平市                                  四平市                 吉林省      吉林省       
