province,ID,name,grade,lat,lon,alt,pressureAlt
安徽,58015,砀山,基本站,34.45,116.333333333333,44.2,45.4
安徽,58016,萧县,一般站,34.1833333333333,116.966666666667,34.7,35.9
安徽,58102,亳州,基本站,33.7833333333333,115.733333333333,39.1,40.3
安徽,58107,临泉,一般站,33.0166666666667,115.283333333333,35.8,37
安徽,58108,界首,一般站,33.3333333333333,115.366666666667,38,39.2
安徽,58109,太和,一般站,33.1333333333333,115.65,31,32.2
安徽,58112,天柱山,一般站,30.7333333333333,116.45,968.2,969.4
安徽,58113,濉溪,一般站,33.9333333333333,116.75,31.6,32.8
安徽,58114,涡阳,一般站,33.4833333333333,116.183333333333,31.2,32.3
安徽,58116,淮北,一般站,34.0333333333333,116.866666666667,32.9,34.1
安徽,58117,利辛,一般站,33.1333333333333,116.2,27.9,29.4
安徽,58118,蒙城,基本站,33.2666666666667,116.516666666667,26,27.2
安徽,58122,宿州,基本站,33.6333333333333,116.983333333333,25.9,27.1
安徽,58125,灵璧,一般站,33.5833333333333,117.516666666667,22.9,24.4
安徽,58126,泗县,一般站,33.4666666666667,117.866666666667,19.5,20.7
安徽,58127,怀远,一般站,32.9833333333333,117.2,21.2,22.4
安徽,58128,固镇,一般站,33.3333333333333,117.35,21,22.2
安徽,58129,五河,一般站,33.15,117.833333333333,14.9,16.1
安徽,58202,阜南,一般站,32.6666666666667,115.566666666667,31.2,32.4
安徽,58203,阜阳,基本站,32.8666666666667,115.733333333333,32.7,33.9
安徽,58210,颍上,一般站,32.65,116.233333333333,25.2,26.2
安徽,58212,凤台,一般站,32.7166666666667,116.766666666667,23,24.2
安徽,58214,霍邱,一般站,32.3666666666667,116.3,27.9,29.1
安徽,58215,寿县,基准站,32.4333333333333,116.783333333333,25.7,26.9
安徽,58220,长丰,一般站,32.4666666666667,117.15,28.1,29.3
安徽,58221,蚌埠,基本站,32.85,117.3,26.8,28
安徽,58222,凤阳,一般站,32.85,117.55,24.6,25.6
安徽,58223,明光,一般站,32.8,117.983333333333,31.4,32.6
安徽,58224,淮南,一般站,32.65,117.016666666667,32.6,33.6
安徽,58225,定远,基本站,32.5333333333333,117.666666666667,69.6,70.6
安徽,58230,全椒,一般站,32.1166666666667,118.283333333333,26.5,27.7
安徽,58234,来安,一般站,32.4666666666667,118.416666666667,40.4,41.6
安徽,58236,滁州,基本站,32.35,118.25,33.5,34.7
安徽,58240,天长,一般站,32.6833333333333,119.016666666667,21.3,22.5
安徽,58306,金寨,一般站,31.6833333333333,115.883333333333,95.4,96.5
安徽,58311,六安,基本站,31.7333333333333,116.5,74.1,75.3
安徽,58314,霍山,基本站,31.4,116.316666666667,86.4,87.6
安徽,58316,舒城,一般站,31.4666666666667,116.916666666667,23.6,24.8
安徽,58317,岳西,一般站,30.8666666666667,116.366666666667,434.2,435.4
安徽,58319,桐城,基准站,31.0666666666667,116.95,85.4,86
安徽,58320,肥西,一般站,31.7333333333333,117.133333333333,21.8,22.8
安徽,58321,合肥,基本站,31.7833333333333,117.3,27,28.2
安徽,58323,肥东,一般站,31.8833333333333,117.466666666667,25,26
安徽,58326,巢湖,基本站,31.5833333333333,117.833333333333,30.9,31.9
安徽,58327,庐江,一般站,31.2666666666667,117.283333333333,45.2,46.4
安徽,58329,无为,一般站,31.3333333333333,117.866666666667,9.6,10.8
安徽,58330,含山,一般站,31.75,118.083333333333,26,27
安徽,58331,和县,一般站,31.7333333333333,118.366666666667,22.5,23.5
安徽,58334,芜湖,一般站,31.3833333333333,118.416666666667,10.2,11.4
安徽,58335,当涂,一般站,31.55,118.566666666667,60,61.2
安徽,58336,马鞍山,基本站,31.7,118.566666666667,80,81.2
安徽,58337,繁昌,一般站,31.0833333333333,118.183333333333,26.8,28
安徽,58338,芜湖县,基本站,31.1166666666667,118.6,40,41.4
安徽,58414,太湖,基本站,30.4333333333333,116.316666666667,105.1,106.3
安徽,58415,潜山,一般站,30.6666666666667,116.55,64.4,65.6
安徽,58416,怀宁,一般站,30.75,116.816666666667,35.5,36.7
安徽,58417,宿松,一般站,30.1666666666667,116.133333333333,54.7,55.9
安徽,58418,望江,一般站,30.1333333333333,116.666666666667,60,61.2
安徽,58419,东至,基本站,30.1,117.016666666667,17.6,18.8
安徽,58420,枞阳,一般站,30.7166666666667,117.233333333333,58.3,59.5
安徽,58421,青阳,一般站,30.6333333333333,117.866666666667,31,32.2
安徽,58423,九华山,一般站,30.4833333333333,117.783333333333,647.3,648.3
安徽,58424,安庆,基本站,30.6166666666667,116.966666666667,62,63.2
安徽,58426,黄山区,一般站,30.3,118.133333333333,193.4,194.6
安徽,58427,池州,一般站,30.65,117.5,15,16.2
安徽,58428,石台,一般站,30.2166666666667,117.5,118.5,119.7
安徽,58429,铜陵,基本站,30.9833333333333,117.85,11,12.2
安徽,58431,南陵,一般站,30.9,118.316666666667,39,40.2
安徽,58432,泾县,一般站,30.6833333333333,118.4,57.3,58.4
安徽,58433,宣城,一般站,30.9333333333333,118.75,31.2,32.2
安徽,58435,旌德,一般站,30.3,118.533333333333,220.2,221.3
安徽,58436,宁国,基本站,30.6166666666667,118.983333333333,87.3,88.5
安徽,58437,黄山,基准站,30.1333333333333,118.15,1840.4,1841.4
安徽,58438,绩溪,一般站,30.0833333333333,118.583333333333,191.1,192.3
安徽,58441,广德,一般站,30.8666666666667,119.416666666667,43.1,44.3
安徽,58442,郎溪,一般站,31.1666666666667,119.183333333333,16.5,17.7
安徽,58520,祁门,基本站,29.85,117.716666666667,142,143.1
安徽,58523,黟县,一般站,29.9333333333333,117.933333333333,227.5,228.7
安徽,58530,歙县,一般站,29.8666666666667,118.433333333333,168.7,170.1
安徽,58531,屯溪,基准站,29.7166666666667,118.283333333333,142.7,143.9
安徽,58534,休宁,一般站,29.7833333333333,118.183333333333,170.2,171.4
北京,54398,顺义,一般站,40.1333333333333,116.616666666667,28.6,29.6
北京,54399,海淀,一般站,39.9833333333333,116.283333333333,45.8,46.9
北京,54406,延庆,基本站,40.45,115.966666666667,487.9,489.1
北京,54410,佛爷顶,一般站,40.6,116.133333333333,1224.7,1225.6
北京,54412,汤河口,一般站,40.7333333333333,116.633333333333,331.6,332.6
北京,54416,密云,基准站,40.3833333333333,116.866666666667,71.8,73
北京,54419,怀柔,一般站,40.3666666666667,116.633333333333,75.7,76.8
北京,54421,上甸子,一般站,40.65,117.116666666667,293.3,294.3
北京,54424,平谷,一般站,40.1666666666667,117.116666666667,32.1,33.3
北京,54431,通州,一般站,39.85,116.75,19.8,20.8
北京,54433,朝阳,一般站,39.95,116.5,35.3,36.3
北京,54499,昌平,一般站,40.2166666666667,116.216666666667,76.2,77.4
北京,54501,斋堂,一般站,39.9666666666667,115.683333333333,440.3,441.3
北京,54505,门头沟,一般站,39.9333333333333,116.1,98,99.1
北京,54511,北京,基本站,39.8,116.466666666667,31.3,32.3
北京,54513,石景山,一般站,39.95,116.2,63,64.1
北京,54514,丰台,一般站,39.8666666666667,116.25,55.2,56.7
北京,54594,大兴,一般站,39.7166666666667,116.35,37.5,38.7
北京,54596,房山,一般站,39.7666666666667,116.2,48.9,49.9
北京,54597,霞云岭,一般站,39.7333333333333,115.733333333333,407.7,408.7
福建,58724,光泽,一般站,27.5333333333333,117.316666666667,268.2,269.2
福建,58725,邵武,基本站,27.3333333333333,117.466666666667,218,218.9
福建,58730,武夷山,基本站,27.7666666666667,118.033333333333,222.1,223.1
福建,58731,浦城,基本站,27.9166666666667,118.533333333333,276.9,277.9
福建,58734,建阳,基本站,27.3333333333333,118.116666666667,196.9,198.1
福建,58735,松溪,一般站,27.5166666666667,118.75,260.2,261.3
福建,58736,政和,一般站,27.3833333333333,118.816666666667,262.4,263.6
福建,58737,建瓯,基准站,27.05,118.316666666667,154.9,155.7
福建,58744,寿宁,基本站,27.45,119.416666666667,815.9,816.9
福建,58747,周宁,一般站,27.15,119.35,899.3,900.3
福建,58748,福安,一般站,27.1,119.65,50.5,51.5
福建,58749,柘荣,一般站,27.2333333333333,119.883333333333,684.1,685.1
福建,58754,福鼎,基本站,27.3333333333333,120.2,36.2,37
福建,58818,宁化,基本站,26.2333333333333,116.633333333333,358.9,359.7
福建,58819,清流,一般站,26.1833333333333,116.816666666667,336.9,338
福建,58820,泰宁,基本站,26.9,117.166666666667,342.9,344.1
福建,58821,将乐,一般站,26.7333333333333,117.466666666667,173.9,174.9
福建,58822,建宁,一般站,26.8333333333333,116.85,342.3,343.5
福建,58823,顺昌,一般站,26.8,117.8,175.2,176.4
福建,58824,明溪,一般站,26.4,117.15,357.4,358.4
福建,58826,沙县,一般站,26.4,117.8,120.6,121.5
福建,58828,三明,一般站,26.2666666666667,117.616666666667,208.2,209.2
福建,58834,南平,基本站,26.6333333333333,118.166666666667,152.2,153.2
福建,58836,古田,一般站,26.5833333333333,118.733333333333,361.5,362.7
